pag_pk,pag_fecha_planificada,pag_importe_planificado,pag_fecha_real,pag_importe_real,pag_confirmar,mon_pk,mon_nombre
4457,"2018-01-31 00:00:00",0,"2018-01-22 00:00:00",0,1,1,Pesos
4458,"2018-02-28 00:00:00",0,"2018-01-22 00:00:00",0,1,1,Pesos
4459,"2018-03-31 00:00:00",0,"2018-01-22 00:00:00",0,1,1,Pesos
4496,"2016-12-30 00:00:00",900000,"2016-12-30 00:00:00",0,1,1,Pesos
4591,"2017-05-31 00:00:00",302400,"2017-05-31 00:00:00",302400,1,1,Pesos
4593,"2017-06-30 00:00:00",302400,"2017-06-30 00:00:00",302400,1,1,Pesos
4594,"2017-07-31 00:00:00",302400,"2017-07-31 00:00:00",302400,1,1,Pesos
4595,"2017-08-30 00:00:00",302400,"2017-12-18 00:00:00",302400,1,1,Pesos
4596,"2017-09-30 00:00:00",302400,"2017-10-18 00:00:00",302400,1,1,Pesos
4597,"2017-10-31 00:00:00",302400,"2017-10-31 00:00:00",302400,1,1,Pesos
4598,"2017-11-30 00:00:00",302400,"2017-12-28 00:00:00",302400,1,1,Pesos
4599,"2017-12-29 00:00:00",302400,"2017-12-28 00:00:00",302400,1,1,Pesos
4600,"2018-01-31 00:00:00",302400,"2017-12-28 00:00:00",302400,1,1,Pesos
7531,"2018-02-28 00:00:00",302400,"2018-04-19 00:00:00",302400,1,1,Pesos
4603,"2017-05-31 00:00:00",66528,"2017-05-31 00:00:00",66528,1,1,Pesos
4604,"2017-06-30 00:00:00",66528,"2017-06-30 00:00:00",66528,1,1,Pesos
4605,"2017-07-31 00:00:00",66528,"2017-07-31 00:00:00",66528,1,1,Pesos
4606,"2017-08-31 00:00:00",66528,"2017-12-18 00:00:00",66528,1,1,Pesos
4607,"2017-09-29 00:00:00",66528,"2017-10-18 00:00:00",66528,1,1,Pesos
4608,"2017-10-31 00:00:00",66528,"2017-10-31 00:00:00",66528,1,1,Pesos
4609,"2017-11-30 00:00:00",66528,"2017-12-28 00:00:00",66528,1,1,Pesos
4610,"2017-12-29 00:00:00",66528,"2017-12-28 00:00:00",66528,1,1,Pesos
4611,"2018-01-31 00:00:00",66528,"2017-12-28 00:00:00",66528,1,1,Pesos
4612,"2018-02-28 00:00:00",66528,"2018-04-19 00:00:00",66528,1,1,Pesos
4763,"2016-12-30 00:00:00",31500,"2017-06-29 00:00:00",31500,1,1,Pesos
4766,"2016-12-28 00:00:00",1293435,"2016-12-28 00:00:00",1293435,1,1,Pesos
4767,"2016-12-28 00:00:00",284556,"2016-12-28 00:00:00",284556,1,1,Pesos
4768,"2016-09-09 00:00:00",609375,"2016-09-09 00:00:00",609375,1,1,Pesos
4769,"2016-09-09 00:00:00",56063,"2016-09-09 00:00:00",56063,1,1,Pesos
4770,"2016-12-23 00:00:00",812500,"2016-12-02 00:00:00",812500,1,1,Pesos
4771,"2016-12-23 00:00:00",74750,"2016-12-02 00:00:00",74750,1,1,Pesos
4772,"2016-12-30 00:00:00",609375,"2016-12-30 00:00:00",609375,1,1,Pesos
4773,"2016-12-30 00:00:00",56063,"2016-12-30 00:00:00",56063,1,1,Pesos
4782,"2017-05-19 00:00:00",195180,"2017-11-06 00:00:00",195180,1,1,Pesos
4783,"2017-04-14 00:00:00",260241,"2017-05-05 00:00:00",260241,1,1,Pesos
4784,"2016-12-23 00:00:00",195180,"2017-03-09 00:00:00",195180,1,1,Pesos
4801,"2016-12-16 00:00:00",79110,"2017-04-14 00:00:00",79110,0,1,Pesos
4802,"2016-11-30 00:00:00",237330,"2017-03-30 00:00:00",237330,0,1,Pesos
4803,"2016-10-06 00:00:00",13420,"2016-10-06 00:00:00",13420,1,1,Pesos
4804,"2016-10-06 00:00:00",39040,"2016-10-06 00:00:00",39040,1,1,Pesos
4805,"2016-11-25 00:00:00",10000,"2016-11-25 00:00:00",7320,1,1,Pesos
9864,"2019-10-31 00:00:00",55035,"2019-04-30 00:00:00",55035,1,1,Pesos
9866,"2018-06-04 00:00:00",257628,"2018-12-21 00:00:00",55035,1,1,Pesos
9867,"2019-04-30 00:00:00",55035,"2019-04-30 00:00:00",55035,1,1,Pesos
9869,"2018-07-31 00:00:00",110070,"2018-12-21 00:00:00",110070,1,1,Pesos
9871,"2018-05-31 00:00:00",293520,"2018-05-31 00:00:00",293520,1,1,Pesos
9872,"2018-06-01 00:00:00",293520,"2018-08-31 00:00:00",293520,1,1,Pesos
12369,"2019-03-29 00:00:00",18345,"2019-04-30 00:00:00",18345,1,1,Pesos
12371,"2018-09-30 00:00:00",0,"2018-12-21 00:00:00",36690,1,1,Pesos
12376,"2018-09-14 00:00:00",0,"2018-12-21 00:00:00",18345,1,1,Pesos
12377,"2019-11-29 00:00:00",110070,"2019-04-30 00:00:00",110070,1,1,Pesos
12378,"2019-12-31 00:00:00",55035,"2019-04-30 00:00:00",55035,1,1,Pesos
12379,"2019-02-28 00:00:00",55035,"2019-04-30 00:00:00",55035,1,1,Pesos
12380,"2019-03-31 00:00:00",110070,"2019-04-30 00:00:00",110070,1,1,Pesos
12381,"2019-04-26 00:00:00",55035,"2019-04-30 00:00:00",55035,1,1,Pesos
9865,"2019-10-31 00:00:00",12108,"2019-04-30 00:00:00",12108,1,1,Pesos
9873,"2018-06-04 00:00:00",56678,"2018-12-21 00:00:00",12108,1,1,Pesos
9876,"2018-07-31 00:00:00",24216,"2018-12-21 00:00:00",24215,1,1,Pesos
9878,"2018-05-31 00:00:00",64574,"2018-05-31 00:00:00",64574,1,1,Pesos
9879,"2018-06-01 00:00:00",64574,"2018-08-31 00:00:00",64574,1,1,Pesos
9880,"2019-04-30 00:00:00",12108,"2019-04-30 00:00:00",12108,1,1,Pesos
